ANYO;MES;COD_PROV;DESC_PROV;COD_MUN;DESC_MUN;COD_NIVEL;DESC_NIVEL;DEMANDANTES
2017;02;03;ALICANTE;002;AGOST;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);7
2017;02;03;ALICANTE;002;AGOST;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);11
2017;02;03;ALICANTE;002;AGOST;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;2
2017;02;03;ALICANTE;002;AGOST;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;3
2017;02;03;ALICANTE;002;AGOST;80;SIN ESTUDIOS;2
2017;02;03;ALICANTE;003;AGRES;11;ESTUDIOS PRIMARIOS INCOMPLETOS;1
2017;02;03;ALICANTE;003;AGRES;12;ESTUDIOS PRIMARIOS COMPLETOS;0
2017;02;03;ALICANTE;003;AGRES;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;13
2017;02;03;ALICANTE;003;AGRES;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;11
2017;02;03;ALICANTE;003;AGRES;32;ENSEÑANZAS DE BACHILLERATO;1
2017;02;03;ALICANTE;003;AGRES;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;3
2017;02;03;ALICANTE;003;AGRES;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;4
2017;02;03;ALICANTE;003;AGRES;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);2
2017;02;03;ALICANTE;003;AGRES;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);1
2017;02;03;ALICANTE;003;AGRES;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;2
2017;02;03;ALICANTE;004;AIGÜES;12;ESTUDIOS PRIMARIOS COMPLETOS;0
2017;02;03;ALICANTE;004;AIGÜES;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;21
2017;02;03;ALICANTE;004;AIGÜES;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;11
2017;02;03;ALICANTE;004;AIGÜES;32;ENSEÑANZAS DE BACHILLERATO;4
2017;02;03;ALICANTE;004;AIGÜES;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;9
2017;02;03;ALICANTE;004;AIGÜES;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;6
2017;02;03;ALICANTE;004;AIGÜES;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);6
2017;02;03;ALICANTE;004;AIGÜES;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;2
2017;02;03;ALICANTE;004;AIGÜES;80;SIN ESTUDIOS;0
2017;02;03;ALICANTE;005;ALBATERA;11;ESTUDIOS PRIMARIOS INCOMPLETOS;28
2017;02;03;ALICANTE;005;ALBATERA;12;ESTUDIOS PRIMARIOS COMPLETOS;37
2017;02;03;ALICANTE;005;ALBATERA;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;8
2017;02;03;ALICANTE;005;ALBATERA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;547
2017;02;03;ALICANTE;005;ALBATERA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;260
2017;02;03;ALICANTE;005;ALBATERA;32;ENSEÑANZAS DE BACHILLERATO;39
2017;02;03;ALICANTE;005;ALBATERA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;49
2017;02;03;ALICANTE;005;ALBATERA;34;ENSEÑANZAS DE GRADO MEDIO DE MÚSICA Y DANZA;0
2017;02;03;ALICANTE;005;ALBATERA;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;30
2017;02;03;ALICANTE;005;ALBATERA;52;TÍTULOS PROPIOS DE LAS UNIVERSIDADES Y OTRAS ENSEÑANZAS QUE PRECISAN DEL TÍTULO DE BACHILLER (2 Y MÁS AÑOS).;1
2017;02;03;ALICANTE;005;ALBATERA;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);22
2017;02;03;ALICANTE;005;ALBATERA;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);11
2017;02;03;ALICANTE;005;ALBATERA;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;5
2017;02;03;ALICANTE;005;ALBATERA;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;5
2017;02;03;ALICANTE;005;ALBATERA;61;DOCTORADO UNIVERSITARIO.;1
2017;02;03;ALICANTE;005;ALBATERA;80;SIN ESTUDIOS;22
2017;02;03;ALICANTE;006;ALCALALI;12;ESTUDIOS PRIMARIOS COMPLETOS;4
2017;02;03;ALICANTE;006;ALCALALI;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;27
2017;02;03;ALICANTE;006;ALCALALI;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;11
2017;02;03;ALICANTE;006;ALCALALI;32;ENSEÑANZAS DE BACHILLERATO;0
2017;02;03;ALICANTE;006;ALCALALI;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;1
2017;02;03;ALICANTE;006;ALCALALI;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;2
2017;02;03;ALICANTE;006;ALCALALI;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);1
2017;02;03;ALICANTE;006;ALCALALI;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;2
2017;02;03;ALICANTE;007;ALCOCER DE PLANES;11;ESTUDIOS PRIMARIOS INCOMPLETOS;1
2017;02;03;ALICANTE;007;ALCOCER DE PLANES;12;ESTUDIOS PRIMARIOS COMPLETOS;1
2017;02;03;ALICANTE;007;ALCOCER DE PLANES;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;12
2017;02;03;ALICANTE;007;ALCOCER DE PLANES;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;0
2017;02;03;ALICANTE;007;ALCOCER DE PLANES;32;ENSEÑANZAS DE BACHILLERATO;0
2017;02;03;ALICANTE;007;ALCOCER DE PLANES;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;1
2017;02;03;ALICANTE;008;ALCOLEJA;11;ESTUDIOS PRIMARIOS INCOMPLETOS;0
2017;02;03;ALICANTE;008;ALCOLEJA;12;ESTUDIOS PRIMARIOS COMPLETOS;5
2017;02;03;ALICANTE;008;ALCOLEJA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;8
2017;02;03;ALICANTE;008;ALCOLEJA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;1
2017;02;03;ALICANTE;008;ALCOLEJA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;2
2017;02;03;ALICANTE;008;ALCOLEJA;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;0
2017;02;03;ALICANTE;008;ALCOLEJA;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);1
2017;02;03;ALICANTE;008;ALCOLEJA;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;0
2017;02;03;ALICANTE;009;ALCOY/ALCOI;11;ESTUDIOS PRIMARIOS INCOMPLETOS;164
2017;02;03;ALICANTE;009;ALCOY/ALCOI;12;ESTUDIOS PRIMARIOS COMPLETOS;589
2017;02;03;ALICANTE;009;ALCOY/ALCOI;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;39
2017;02;03;ALICANTE;009;ALCOY/ALCOI;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;2188
2017;02;03;ALICANTE;009;ALCOY/ALCOI;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;1325
2017;02;03;ALICANTE;009;ALCOY/ALCOI;31;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE PRECISAN DE UNA TITULACIÓN DE ESTUDIOS SECUNDARIOS DE PRIMERA ETAPA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;1
2017;02;03;ALICANTE;009;ALCOY/ALCOI;32;ENSEÑANZAS DE BACHILLERATO;234
2017;02;03;ALICANTE;009;ALCOY/ALCOI;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;533
2017;02;03;ALICANTE;009;ALCOY/ALCOI;34;ENSEÑANZAS DE GRADO MEDIO DE MÚSICA Y DANZA;1
2017;02;03;ALICANTE;009;ALCOY/ALCOI;41;ENSEÑANZAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE PRECISAN DE UNA TITULACIÓN DE ESTUDIOS SECUNDARIOS DE 2ª ETAPA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;2
2017;02;03;ALICANTE;009;ALCOY/ALCOI;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;325
2017;02;03;ALICANTE;009;ALCOY/ALCOI;52;TÍTULOS PROPIOS DE LAS UNIVERSIDADES Y OTRAS ENSEÑANZAS QUE PRECISAN DEL TÍTULO DE BACHILLER (2 Y MÁS AÑOS).;2
2017;02;03;ALICANTE;009;ALCOY/ALCOI;53;ENSEÑANZAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE PRECISAN DE UNA FORMACIÓN PROFESIONAL DE GRADO SUPERIOR PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;1
2017;02;03;ALICANTE;009;ALCOY/ALCOI;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);150
2017;02;03;ALICANTE;009;ALCOY/ALCOI;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);131
2017;02;03;ALICANTE;009;ALCOY/ALCOI;56;ESTUDIOS OFICIALES DE ESPECIALIZACIÓN PROFESIONAL.;1
2017;02;03;ALICANTE;009;ALCOY/ALCOI;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;51
2017;02;03;ALICANTE;009;ALCOY/ALCOI;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;22
2017;02;03;ALICANTE;009;ALCOY/ALCOI;61;DOCTORADO UNIVERSITARIO.;6
2017;02;03;ALICANTE;009;ALCOY/ALCOI;80;SIN ESTUDIOS;45
2017;02;03;ALICANTE;010;ALFAFARA;12;ESTUDIOS PRIMARIOS COMPLETOS;2
2017;02;03;ALICANTE;010;ALFAFARA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;7
2017;02;03;ALICANTE;010;ALFAFARA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;1
2017;02;03;ALICANTE;010;ALFAFARA;32;ENSEÑANZAS DE BACHILLERATO;1
2017;02;03;ALICANTE;010;ALFAFARA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;1
2017;02;03;ALICANTE;010;ALFAFARA;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);1
2017;02;03;ALICANTE;010;ALFAFARA;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);1
2017;02;03;ALICANTE;010;ALFAFARA;59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;0
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';11;ESTUDIOS PRIMARIOS INCOMPLETOS;30
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';12;ESTUDIOS PRIMARIOS COMPLETOS;33
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;2
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;621
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;199
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';31;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE PRECISAN DE UNA TITULACIÓN DE ESTUDIOS SECUNDARIOS DE PRIMERA ETAPA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;2
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';32;ENSEÑANZAS DE BACHILLERATO;62
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;42
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';34;ENSEÑANZAS DE GRADO MEDIO DE MÚSICA Y DANZA;1
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;28
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);20
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);19
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';56;ESTUDIOS OFICIALES DE ESPECIALIZACIÓN PROFESIONAL.;0
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';59;ENSEÑANZAS UNIVERSITARIAS DE GRADO;5
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;5
2017;02;03;ALICANTE;011;ALFAS DEL PI, L';80;SIN ESTUDIOS;11
2017;02;03;ALICANTE;012;ALGORFA;11;ESTUDIOS PRIMARIOS INCOMPLETOS;13
2017;02;03;ALICANTE;012;ALGORFA;12;ESTUDIOS PRIMARIOS COMPLETOS;13
2017;02;03;ALICANTE;012;ALGORFA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;88
2017;02;03;ALICANTE;012;ALGORFA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;38
2017;02;03;ALICANTE;012;ALGORFA;32;ENSEÑANZAS DE BACHILLERATO;5
2017;02;03;ALICANTE;012;ALGORFA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;12
2017;02;03;ALICANTE;012;ALGORFA;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;5
2017;02;03;ALICANTE;012;ALGORFA;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);4
2017;02;03;ALICANTE;012;ALGORFA;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);1
2017;02;03;ALICANTE;012;ALGORFA;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;1
2017;02;03;ALICANTE;012;ALGORFA;80;SIN ESTUDIOS;1
2017;02;03;ALICANTE;013;ALGUEÑA;11;ESTUDIOS PRIMARIOS INCOMPLETOS;11
2017;02;03;ALICANTE;013;ALGUEÑA;12;ESTUDIOS PRIMARIOS COMPLETOS;11
2017;02;03;ALICANTE;013;ALGUEÑA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;38
2017;02;03;ALICANTE;013;ALGUEÑA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;32
2017;02;03;ALICANTE;013;ALGUEÑA;32;ENSEÑANZAS DE BACHILLERATO;7
2017;02;03;ALICANTE;013;ALGUEÑA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;6
2017;02;03;ALICANTE;013;ALGUEÑA;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;6
2017;02;03;ALICANTE;013;ALGUEÑA;54;ENSEÑANZAS UNIVERSITARIAS DE PRIMER CICLO Y EQUIVALENTES O PERSONAS QUE HAN APROBADO 3 CURSOS COMPLETOS DE UNA LICENCIATURA O CRÉDITOS EQUIVALENTES (DIPLOMADOS);1
2017;02;03;ALICANTE;013;ALGUEÑA;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);3
2017;02;03;ALICANTE;013;ALGUEÑA;60;ENSEÑANZAS UNIVERSITARIAS OFICIALES DE MÁSTER;1
2017;02;03;ALICANTE;013;ALGUEÑA;80;SIN ESTUDIOS;2
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;11;ESTUDIOS PRIMARIOS INCOMPLETOS;1336
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;12;ESTUDIOS PRIMARIOS COMPLETOS;1145
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;98
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;13609
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;6856
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;31;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE PRECISAN DE UNA TITULACIÓN DE ESTUDIOS SECUNDARIOS DE PRIMERA ETAPA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;14
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;32;ENSEÑANZAS DE BACHILLERATO;2337
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;1940
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;34;ENSEÑANZAS DE GRADO MEDIO DE MÚSICA Y DANZA;9
2017;02;03;ALICANTE;014;ALICANTE/ALACANT;41;ENSEÑANZAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE PRECISAN DE UNA TITULACIÓN DE ESTUDIOS SECUNDARIOS DE 2ª ETAPA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;15
